Temps [s];Marche [s/j];Amplitude [°]
1400;0.4;289
1402;4.4;273
1404;-0.4;288
1406;0.5;292
1408;1.3;291
1410;3.5;288
1412;0.7;293
1414;1;292
1416;3;294
1418;1.8;292
1420;2.1;290
1422;1.9;290
1424;3.7;290
1426;1.5;288
1428;2.7;282
1430;1.5;290
1432;5.1;285
1434;2.4;285
1436;3;284
1438;1.9;284
1440;5.1;279
1442;1.8;274
1444;1.4;269
1446;1.8;274
1448;2.9;276
1450;-0.3;276
1452;0.7;279
1454;2.9;278
1456;0;276
1458;1.6;278
1460;1.6;279
1462;3.2;279
1464;-0.4;277
1466;1;276
1468;0.9;276
1470;3.1;279
1472;0.4;283
1474;1.5;282
1476;3.7;277
1478;1.4;273
1480;1.7;280
1482;0.9;281
1484;3.2;278
1486;1.1;278
1488;2.1;279
1490;1.5;278
1492;3.6;279
1494;0.7;272
1496;1.4;279
1498;0.5;279
1500;3.5;277
1502;0.3;277
1504;0;278
1506;1;280
1508;2.8;281
1510;0.2;282
1512;0.9;284
1514;3;284
1516;0.9;281
1518;1.7;277
1520;0.6;284
1522;3.5;283
1524;-0.4;286
1526;1.5;287
1528;1.7;288
1530;3.9;287
1532;0.8;290
1534;2.2;288
1536;3.8;285
1538;1.2;286
1540;2.2;287
1542;1;288
1544;3.5;287
1546;1.2;285
1548;1.8;285
1550;1.5;287
1552;3.9;285
1554;1.6;284
1556;1.7;285
1558;0.4;288
1560;3.1;286
1562;-0.3;288
1564;0.8;290
1566;1.4;291
1568;3;291
1570;1.4;280
1572;1.1;283
1574;2.9;290
1576;0.5;289
1578;1.3;294
1580;1;293
1582;3.9;292
1584;0.3;296
1586;1.9;296
1588;2.3;292
1590;3.8;289
1592;1.7;295
1594;1.9;290
1596;4.1;292
1598;1.5;291
1600;2.7;292
1602;2;292
1604;4.5;286
1606;2.1;286
1608;2.1;287
1610;1.2;287
1612;3.6;286
1614;0.4;288
1616;1.4;287
1618;0.2;291
1620;3.3;287
1622;-0.1;288
1624;0.3;280
1626;2;292
1628;2.8;290
1630;1.3;294
1632;1.3;294
1634;3.5;294
1636;0.9;291
1638;2.1;280
1640;2;294
1642;4.6;291
1644;1.2;293
1646;2.2;291
1648;1.9;289
1650;4.4;288
1652;0.9;291
1654;2.4;288
1656;4.5;286
1658;2.6;283
1660;3.3;272
1662;1.5;285
1664;3.6;283
1666;1.3;280
1668;0.7;281
1670;-0.3;286
1672;4.3;286
1674;0.1;284
1676;0.7;284
1678;0.5;290
1680;4.9;285
1682;1.7;283
1684;1.2;288
1686;2.2;287
1688;4.3;282
1690;1;287
1692;1.5;287
1694;3.1;286
1696;2;275
1698;2.1;286
1700;2.2;282
1702;5.6;282
1704;1.7;281
1706;2.7;277
1708;1.6;279
1710;3.5;275
1712;0.7;276
1714;1.4;276
1716;2.5;271
1718;2.9;264
1720;0.6;274
1722;0;276
1724;2.4;276
1726;0.2;271
1728;0.1;276
1730;-0.9;275
1732;2.8;278
1734;-0.1;280
1736;0.8;282
1738;0.3;283
1740;4.2;280
1742;0.7;283
1744;0.1;279
1746;1.1;283
1748;3.4;274
1750;0.6;286
1752;1.1;288
1754;3.7;283
1756;1.7;284
1758;2.5;283
1760;2.2;283
1762;6.4;281
1764;0.8;276
1766;1.7;277
1768;0.6;278
1770;4.2;273
1772;-0.4;275
1774;-0.1;276
1776;1.6;276
1778;1.7;276
1780;-0.7;279
1782;-0.5;281
1784;1.8;285
1786;1.1;284
1788;0.3;288
1790;-0.3;287
1792;4.1;288
1794;0.6;289
1796;0.4;291
1798;0.1;295
1800;3.7;292
1802;0.8;295
1804;0.8;291
1806;2.3;296
1808;4.3;297
1810;1;296
1812;3;298
1814;5;295
1816;3.1;290
1818;3.1;291
1820;1.9;286
1822;6.5;287
1824;1.1;283
1826;1.3;284
1828;0.8;287
1830;3.3;284
1832;0;290
1834;0.6;289
1836;2.1;287
1838;1.8;290
1840;1.1;291
1842;0.1;293
1844;2.8;293
1846;1.7;288
1848;1.1;292
1850;0.6;296
1852;3.6;296
1854;1;292
1856;1.8;294
1858;1.6;297
1860;4.8;294
1862;1;297
1864;1.5;293
1866;3.6;295
1868;5.7;291
1870;2.5;288
1872;1.9;289
1874;3.9;285
1876;1.8;284
1878;2.1;288
1880;1.5;286
1882;4.2;280
1884;0.7;286
1886;0.8;286
1888;0.7;290
1890;3.6;287
1892;-0.2;280
